#1A0099FF
#809900FF
#009966FF
#D58F5CFF
#996600FF
#FF1463FF
#33CC00FF
#00CC99FF
#802268FF
#CDDEB7FF
#7A65A5FF
#D595A7FF
#FFC20AFF
#FFD147FF
#0A47FFFF
#466983FF
#00D68FFF
#F0E685FF
#0099CCFF
#CE3D32FF
#CC9900FF
#AE1F63FF
#837B8DFF
#C75127FF
#991A00FF
#5050FFFF
#5DB1DDFF
#4775FFFF
#749B58FF
#BA6338FF
#6BD76BFF
#E7C76FFF
#A9A9A9FF
#E4AF69FF
#003399FF
#00CC33FF
#612A79FF
#00991AFF
#339900FF
#990033FF
#D60047FF
#3B1B53FF
#924822FF
#99CC00FF
#5A655EFF
