Gad1
Gad2
Gabra1
Gabra2
Gabra3
Gabra4
Gabra5
Gabra6
Gabrb1
Gabrb2
Gabrb3
Gabrr1
Syt3
Slc35f1
Gabbr2
Slc32a1
Bsn
Synpr
Camkv
Elavl3
Dlgap1
Atcay
Unc13a
Doc2a
Sv2b
Efr3b
Pcdh9
Pex5l
Gdap1l1
Gdap1
Slc12a5
Slc6a1
Gng3
Sult4a1
Syt13
Cnih2
Kcnd2
Serp1
Serp2
Ckb
Gabrg2
Scn3b
Phactr3
Slc6a7
Svop
Syt1
Sv2a
Gria1
Gria2
Gria4
Gria3
Grik2
Grik3
Grik1
Scand1
Grik4
Grik5
Grid1
Slc22a17
Grid2
Grin2c
Bex5
Insm2
Sox1
Grin2b
Grin2a
Grin2d
Grin1
Grin3b
Grin3a
Ksr1
Syt6
Slc6a17
Syn3
Th
Slc6a3
Tle6
Oxt
Oxtr
Avp
Avpr1a
Avpr1b
Avpr2
Tac1
Tacr1
Pomc
Mc1r
Mc3r
Mc4r
Pnoc
Oprl1
Tac2
Tacr3
Gpr83
Nts
Ntsr1
Ntsr2
Gal
Galr1
Agrp
Npy
Npy1r
Npy2r
Npy4r
Npy4r2
Npy5r
Sst
Sstr1
Sstr2
Sstr3
Cartpt
Pmch
Mchr1
Rln1
Rxfp1
Penk
Pdyn
Oprd1
Oprk1
Oprm1
Trh
Trhr
Hcrt
Hcrtr1
Hcrtr2
Qrfp
Qrfpr
Npw
Npvf
Npffr1
Npffr2
Prlhr
Ghrh
Ghrhr
Grp
Grpr
Vip
Lhx1
Vipr1
Vipr2
Prok2
Prokr2
Nms
Nmur2
Nmu
Nmur1
Nmb
Nmbr
Kiss1
Kiss1r
Crh
Crhr1
Crhr2
Bdnf
Ntrk2
Adcyap1
Adcyap1r1
Cntf
Cntfr
Cck
Cckar
Cckbr
Lbhd2
Slit3
Slit1
Slit2
Robo3
Robo2
Galr3
Rora
St8sia1
Robo1
Boc
Cdon
Cyp19a1
Ar
Esr1
Esr2
Vgll2
Vgll3
Onecut3
Onecut2
Notch3
Cux1
Cux2
Onecut1
Notch1
Hes1
Nr2f1
Rbfox1
Rbfox2
Rbfox3
Nes
Shh
Ptch1
Smo
Gli2
Gli3
Rita1
Rbpj
Rbpjl
Lama4
Tns1
Dcn
Igfbpl1
Vcan
S100b
Ephb1
P3h2
Nell2
Crym
Cd59a
Tgfb2
Scn7a
Mest
Col25a1
Igfbp5
Rgcc
Adm
Rgs7bp
Ctgf
Ebf2
Ebf3
Lhx3
Islr2
Dkk4
Dkk2
Sycn
Islr
Calb1
Dner
Sphkap
Scgn
Wnt4
Olig1
Pcdh15
Aldoc
Igfbp2
Pdgfra
Nnat
Camk2b
Tubb3
Thy1
Myt1l
Ncoa7
Mafg
Zcchc18
Snap25
Snap47
Snap91
Syn1
Syn2
Syngr1
Synj1
Syp
Syt4
Nrxn3
Stmn2
Stmn3
Elavl4
Aqp4
Sox2
Sox9
Gfap
Ndrg2
Gja1
Slc17a9
Slc17a7
Slc17a6
Slc16a1
Slc16a7
Slc16a3
Panx1
P2rx7
Srr
Dao
Vamp2
Gab1
Slc18a1
Slc18a2
Slc18a3
Slc17a5
Osmr
S100a6
Ogn
Itih5
Rdh10
Fst
1500015O10Rik
Rnf13
A2m
Rsph9
Galnt16
Rad23b
Tgfbr2
Ppp1r15a
Hepacam
Fabp7
Fgf10
Fgf18
Frzb
Penk
Nr2e1
Apoe
Sox10
Mog
Eomes
Tbr1
Rarres2
Foxj1
Ccdc153
Enkur
Dbi
Vim
Hes5
Calb2
Slc17a7
Neurod6
Emx1
Dlx1
Isl1
Foxa1
Foxp2
Nr4a2
Lhx9
Ntng1
Sim1
Otp
Foxb1
Cbln1
Tnc
Slc1a3
Notch2
Nkx2-1
Nkx2-2
Rax
Fezf1
Slc17a6
Neurog3
Neurog1
Nr5a1
Ascl1
Neurod1
Nhlh2
Dbx1
Bsx
Hmx2
Hmx3
Gsx1
Ikzf1
Nr5a2
Lhx2
Arnt2
Sim2
Pou3f2
Fzd5
Six6
Six3
Arntl
Pmch
Top2a
Mki67
Fos
Per1
Per2
