p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.449578337349995e-17,0.8244253854792993,0.466,0.105,4.561377435477898e-13,15,Zfp385b
4.121178604046179e-17,0.9339080250160379,0.429,0.083,5.449434468130262e-13,15,Zic1
6.098667798150127e-17,0.6734067594440759,0.344,0.035,8.064268429493913e-13,15,Bdnf
7.978338384967701e-17,-0.7838001940787073,0.19,0.583,1.054975684644279e-12,15,Fam46a
9.985326763592939e-17,0.897377621901752,0.947,0.618,1.3203597579498942e-12,15,Ncam2
1.0260737895741332e-16,-0.9996463766044217,0.778,0.952,1.3567773719538764e-12,15,Pam
1.2230203587457145e-16,-1.1411832064348526,0.64,0.864,1.6171998203694582e-12,15,Dgkb
1.3699403860960487e-16,1.0098007433476393,0.804,0.404,1.811472172534805e-12,15,Calb2
1.65651520521071e-16,0.5581580877736698,0.492,0.127,2.1904100558501216e-12,15,Lgi3
1.900443924119667e-16,0.6886203802470596,0.884,0.623,2.5129570008634357e-12,15,Pkia
2.485910176274225e-16,0.6088163258382422,0.958,0.829,3.2871190260874078e-12,15,Cirbp
2.5942772656624233e-16,0.665321203089184,0.952,0.768,3.430412828385422e-12,15,Ppp2r2b
3.04299838918223e-16,0.7059423026994565,0.995,0.987,4.023756770015663e-12,15,Dlg2
3.199530341180976e-16,0.6728989342666694,0.989,0.877,4.2307389701436045e-12,15,Gria2
3.7233922707160045e-16,0.7570943500237565,0.714,0.338,4.923441599567773e-12,15,Ptprz1
4.405081121256995e-16,-0.7088154790536365,0.206,0.61,5.824838766638125e-12,15,Necab1
4.782921469682153e-16,0.5418456487257162,0.937,0.522,6.324457059360711e-12,15,Grid1
1.153019823555102e-15,0.7485451130610892,0.815,0.439,1.5246381126869115e-11,15,Prickle2
1.284544014919453e-15,-0.7503120286919771,0.074,0.412,1.6985525509279926e-11,15,Pdyn
1.3093227911451608e-15,0.9636908733487486,0.974,0.846,1.7313175267312463e-11,15,Sgcz
1.539094305352468e-15,-0.6370939022043424,0.169,0.539,2.0351443999675683e-11,15,Kcnmb4
1.664065006426361e-15,0.8829865295961301,0.423,0.096,2.2003931579975773e-11,15,Reln
2.318094467364605e-15,-0.7980184309052077,0.54,0.807,3.065216314196217e-11,15,Kcnd3
2.776682982665792e-15,0.5896997433158666,0.958,0.846,3.6716079079789766e-11,15,Rab6a
2.7843260251896496e-15,-0.596332419978854,0.884,0.987,3.6817143031082734e-11,15,Ptprn
4.275629747586092e-15,0.7118617117815865,0.693,0.377,5.653665215233089e-11,15,Hmgcs1
4.6870900373839986e-15,0.8283652544739433,0.725,0.425,6.197739156432861e-11,15,Nova1
5.359267849516519e-15,0.8483329249658993,0.831,0.583,7.086559877415694e-11,15,Tenm4
7.218438956750751e-15,-0.9478971759542278,0.656,0.86,9.544941832511519e-11,15,Pde10a
7.718911975248204e-15,0.6004592839068646,0.577,0.228,1.0206717304870701e-10,15,Chst1
7.7731962555741e-15,0.584781031929217,0.989,0.996,1.0278497408745633e-10,15,Stmn3
7.831832780866702e-15,0.5673651220337516,0.423,0.101,1.035603248614004e-10,15,Sidt1
1.003025657015466e-14,0.587474813138166,0.952,0.851,1.3263008262715507e-10,15,Tspan7
1.2316623320019585e-14,0.7116031384069244,0.968,0.846,1.6286271016061898e-10,15,Negr1
1.3691300249468867e-14,0.6606984057504843,0.661,0.289,1.8104006319872683e-10,15,Thy1
1.5886135029865467e-14,0.6898850777517982,0.989,0.89,2.1006236349991107e-10,15,Gria4
1.6183678263341625e-14,0.5698367605359929,0.344,0.053,2.139967776761663e-10,15,Zic4
1.8528150527589523e-14,0.6595600193059002,0.725,0.355,2.4499773442631625e-10,15,Sobp
1.931922715998752e-14,0.6555069405574879,0.635,0.307,2.55458140736515e-10,15,Tmem91
2.378958815381264e-14,0.659419434528707,0.519,0.175,3.1456972415786453e-10,15,Scn1a
2.5895349862117716e-14,-0.7030288228882133,0.82,0.956,3.4241421122678257e-10,15,Zbtb20
2.9983385505076776e-14,-0.7676224269840484,0.635,0.864,3.964703065336302e-10,15,Cdk14
3.6151082866779496e-14,0.679517080507613,0.497,0.162,4.780257687474252e-10,15,Nrp2
5.401144221240023e-14,0.8293187928458976,0.952,0.811,7.141933003745683e-10,15,Grik2
5.995395971380488e-14,0.9047151192065028,0.974,0.877,7.927712092956419e-10,15,Pcdh9
6.048101990211176e-14,-0.7939484584740828,0.45,0.772,7.997405261656238e-10,15,Cadps2
6.191732281422053e-14,0.5176884732000394,0.402,0.088,8.18732759572438e-10,15,Clmp
