p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.973952217305355e-43,1.949884995354693,0.64,0.013,3.932457016942871e-39,pneTRH,Cbln2
8.870446084833302e-43,1.9800987888986321,0.947,0.57,1.1729390857975076e-38,pneTRH,March1
3.213979877733705e-42,2.3798185603068855,0.968,0.689,4.249845592327278e-38,pneTRH,Lingo2
3.97669512414807e-39,1.9471773302479014,0.884,0.456,5.258383962660993e-35,pneTRH,Nav3
1.7749619750021012e-35,1.5614897981567084,0.952,0.654,2.3470322195452782e-31,pneTRH,Lrfn5
4.260636899960919e-34,-1.4872386558496355,0.698,0.93,5.6338401728183225e-30,pneTRH,Adam23
3.717947966744947e-33,-1.3694593329200253,0.989,1,4.916242596426843e-29,pneTRH,Ccser1
4.293895673633856e-32,1.5511659195056862,0.974,0.649,5.677818249246047e-28,pneTRH,Opcml
9.821990845886084e-32,-2.3382479667132072,0.646,0.908,1.2987618495515168e-27,pneTRH,Pde4b
2.135424603870394e-31,-8.071390464284294,0.688,0.917,2.823671953697822e-27,pneTRH,Avp
4.582083939697627e-29,1.6817068061082567,0.788,0.219,6.058889593462172e-25,pneTRH,Trh
5.234573688075015e-29,-1.7275745970884278,0.053,0.566,6.921676787741592e-25,pneTRH,Foxp2
1.1982038381457658e-28,-1.2275535988582034,0.958,1,1.584384935180146e-24,pneTRH,Dpp6
3.5338507900265337e-28,-1.4220801088509667,0.048,0.553,4.6728108996520854e-24,pneTRH,Stxbp6
1.0525953744140788e-27,1.2633279646995716,0.873,0.478,1.3918468635877364e-23,pneTRH,Celf2
1.0915577113424666e-27,1.5397565101871473,0.82,0.351,1.4433667617081437e-23,pneTRH,Tenm3
4.0407274263173056e-27,1.0426405691097949,0.481,0.035,5.343053875819373e-23,pneTRH,Cbln1
1.2512165797981161e-26,1.3318769185495913,0.968,0.939,1.654483683467049e-22,pneTRH,Lrp1b
1.6091515740590443e-25,-7.18633381278243,0.418,0.763,2.1277811263782744e-21,pneTRH,Oxt
6.88363337493268e-25,1.1304699318954083,0.487,0.057,9.102228411673483e-21,pneTRH,Adcyap1
1.4856500563827376e-24,1.3894044065046973,0.899,0.504,1.964475069554894e-20,pneTRH,Mgat4c
6.904234164370866e-24,1.0046200397978915,0.82,0.439,9.129468835547596e-20,pneTRH,Camk2n1
1.7905817271548362e-23,1.6927317389724081,0.757,0.311,2.36768621781684e-19,pneTRH,Pcdh11x
2.495880064672159e-23,1.3555364875301823,0.635,0.197,3.3003022095159957e-19,pneTRH,Grm1
3.557424051745883e-23,-0.8686271986584584,0.101,0.583,4.703981823623581e-19,pneTRH,Pou3f2
4.7201907873016674e-23,0.9200776245429856,0.487,0.07,6.241508278048994e-19,pneTRH,Zfhx4
1.1183498299071918e-22,0.9493348480367976,0.64,0.193,1.4787939800862798e-18,pneTRH,Plxna4
1.7856174844887964e-22,1.18689118453985,0.667,0.228,2.3611219997395354e-18,pneTRH,4930555F03Rik
2.689343842819104e-22,0.7448568613611539,0.979,0.838,3.556119363359701e-18,pneTRH,Camta1
5.247770381630828e-22,1.0281150550385312,0.963,0.768,6.939126775630444e-18,pneTRH,Gabrg3
8.429251391383754e-22,0.7527992850810499,0.466,0.057,1.1145999114826738e-17,pneTRH,Caln1
9.336065172082643e-22,1.1948917523024558,0.873,0.469,1.234507897704488e-17,pneTRH,Efna5
1.1997367958621689e-21,0.8392713538500773,0.64,0.197,1.586411965168546e-17,pneTRH,Sez6l
1.4318513700189584e-21,1.000651273056691,0.862,0.579,1.8933370665760687e-17,pneTRH,Olfm1
9.653587879395698e-21,-1.1010103622689982,0.101,0.513,1.276493925292493e-16,pneTRH,Caprin2
1.0385766075838509e-20,0.763979615199257,0.519,0.105,1.373309848208126e-16,pneTRH,Ngb
2.4580339936465218e-20,0.6817478886109356,1,0.996,3.250258349798796e-16,pneTRH,Nrxn1
5.139617496915891e-20,0.5862619108988292,0.328,0.004,6.796116216171882e-16,pneTRH,Islr2
2.0321632012591005e-19,1.3070418272040685,0.513,0.136,2.6871294010249086e-15,pneTRH,Unc13c
2.4632186333916196e-19,-1.0023709044627471,0.032,0.412,3.2571139989337384e-15,pneTRH,Fign
4.263063322487032e-19,-1.1416036302828303,0.751,0.939,5.637048631324602e-15,pneTRH,Cntn4
6.628141460180695e-19,1.1329689712192017,0.714,0.351,8.764391452796933e-15,pneTRH,Edil3
7.494157258793253e-19,1.3045949218670065,0.497,0.136,9.90952414330232e-15,pneTRH,Trhde
1.0547978805235292e-18,0.7319123664399205,0.989,0.89,1.3947592374162626e-14,pneTRH,Gpm6a
1.0992329721671632e-18,0.7124493145591748,0.91,0.667,1.45351575909664e-14,pneTRH,Sh3bp1
1.128298597198804e-18,0.6443260594614554,0.317,0.009,1.4919492350759786e-14,pneTRH,Gm2694
1.3361049697174395e-18,0.7305393250067733,0.593,0.193,1.7667316014573703e-14,pneTRH,AI593442
2.140478166007846e-18,0.7926002931390247,0.746,0.289,2.8303542789121746e-14,pneTRH,Robo1
2.7318427065353248e-18,0.6394766598000595,0.312,0.009,3.61231561085166e-14,pneTRH,Onecut2
3.4105734503926145e-18,-0.6303424042251652,0.026,0.386,4.509801273454154e-14,pneTRH,Tns1
3.792121131374669e-18,0.8147567067911923,0.921,0.728,5.0143217720167254e-14,pneTRH,Gm26848
3.928207141818758e-18,0.556400683702897,1,1,5.194268303626944e-14,pneTRH,Meg3
4.9467136029598185e-18,-0.9842210488943448,0.196,0.596,6.541039397193768e-14,pneTRH,Cdh9
6.272121013140392e-18,0.7129065579575372,0.667,0.268,8.29362561567554e-14,pneTRH,Rbfox3
6.291747920999715e-18,1.1340630319102178,0.894,0.605,8.319578275937923e-14,pneTRH,Cntn5
6.538465789350785e-18,0.6464051015607016,0.381,0.044,8.645813313258544e-14,pneTRH,Zic5
7.649445593395126e-18,1.2468794240107193,0.571,0.211,1.0114861908146375e-13,pneTRH,Kctd16
1.3473789079019641e-17,-1.0901468645511878,0.259,0.636,1.7816391299187672e-13,pneTRH,Kcnh1
1.9877395846341212e-17,-0.73300943366442,0.026,0.373,2.6283880527616985e-13,pneTRH,Ebf3
3.071259863269164e-17,-1.1767500727182343,0.937,0.987,4.0611269172008157e-13,pneTRH,Kcnip4
3.449578337349995e-17,0.8244253854792994,0.466,0.105,4.561377435477898e-13,pneTRH,Zfp385b
4.121178604046179e-17,0.9339080250160379,0.429,0.083,5.449434468130262e-13,pneTRH,Zic1
6.098667798150127e-17,0.6734067594440759,0.344,0.035,8.064268429493913e-13,pneTRH,Bdnf
7.978338384967701e-17,-0.7838001940787073,0.19,0.583,1.054975684644279e-12,pneTRH,Fam46a
9.985326763592939e-17,0.8973776219017515,0.947,0.618,1.3203597579498942e-12,pneTRH,Ncam2
1.0260737895741332e-16,-0.9996463766044212,0.778,0.952,1.3567773719538764e-12,pneTRH,Pam
1.2019520354096775e-16,-1.142145965923961,0.64,0.864,1.5893411764222165e-12,pneTRH,Dgkb
1.3699403860960487e-16,1.0098007433476393,0.804,0.404,1.811472172534805e-12,pneTRH,Calb2
1.65651520521071e-16,0.5581580877736698,0.492,0.127,2.1904100558501216e-12,pneTRH,Lgi3
1.900443924119667e-16,0.6886203802470596,0.884,0.623,2.5129570008634357e-12,pneTRH,Pkia
2.485910176274225e-16,0.6088163258382422,0.958,0.829,3.2871190260874078e-12,pneTRH,Cirbp
3.0699427652335273e-16,0.6636714658700913,0.952,0.768,4.059385318468293e-12,pneTRH,Ppp2r2b
3.199530341180976e-16,0.6728989342666694,0.989,0.877,4.2307389701436045e-12,pneTRH,Gria2
3.2345924670620326e-16,0.7059423026994565,0.995,0.987,4.277101619196125e-12,pneTRH,Dlg2
3.7233922707160045e-16,0.7570943500237565,0.714,0.338,4.923441599567773e-12,pneTRH,Ptprz1
4.405081121256995e-16,-0.7088154790536365,0.206,0.61,5.824838766638125e-12,pneTRH,Necab1
4.782921469682153e-16,0.5418456487257162,0.937,0.522,6.324457059360711e-12,pneTRH,Grid1
1.153019823555102e-15,0.7485451130610892,0.815,0.439,1.5246381126869115e-11,pneTRH,Prickle2
1.284544014919453e-15,-0.7503120286919771,0.074,0.412,1.6985525509279926e-11,pneTRH,Pdyn
1.3093227911451608e-15,0.9636908733487486,0.974,0.846,1.7313175267312463e-11,pneTRH,Sgcz
1.539094305352468e-15,-0.6370939022043424,0.169,0.539,2.0351443999675683e-11,pneTRH,Kcnmb4
1.664065006426361e-15,0.8829865295961301,0.423,0.096,2.2003931579975773e-11,pneTRH,Reln
2.318094467364605e-15,-0.7980184309052077,0.54,0.807,3.065216314196217e-11,pneTRH,Kcnd3
2.776682982665792e-15,0.5896997433158666,0.958,0.846,3.6716079079789766e-11,pneTRH,Rab6a
2.7843260251896496e-15,-0.596332419978854,0.884,0.987,3.6817143031082734e-11,pneTRH,Ptprn
4.275629747586092e-15,0.7118617117815863,0.693,0.377,5.653665215233089e-11,pneTRH,Hmgcs1
4.6870900373839986e-15,0.8283652544739434,0.725,0.425,6.197739156432861e-11,pneTRH,Nova1
5.359267849516519e-15,0.8483329249658993,0.831,0.583,7.086559877415694e-11,pneTRH,Tenm4
7.218438956750751e-15,-0.9478971759542276,0.656,0.86,9.544941832511519e-11,pneTRH,Pde10a
7.718911975248204e-15,0.6004592839068646,0.577,0.228,1.0206717304870701e-10,pneTRH,Chst1
7.7731962555741e-15,0.584781031929217,0.989,0.996,1.0278497408745633e-10,pneTRH,Stmn3
7.831832780866702e-15,0.5673651220337516,0.423,0.101,1.035603248614004e-10,pneTRH,Sidt1
1.003025657015466e-14,0.587474813138166,0.952,0.851,1.3263008262715507e-10,pneTRH,Tspan7
1.2316623320019585e-14,0.7116031384069244,0.968,0.846,1.6286271016061898e-10,pneTRH,Negr1
1.3691300249468867e-14,0.6606984057504841,0.661,0.289,1.8104006319872683e-10,pneTRH,Thy1
1.5886135029865467e-14,0.6898850777517982,0.989,0.89,2.1006236349991107e-10,pneTRH,Gria4
1.6183678263341625e-14,0.569836760535993,0.344,0.053,2.139967776761663e-10,pneTRH,Zic4
1.8528150527589523e-14,0.6595600193059,0.725,0.355,2.4499773442631625e-10,pneTRH,Sobp
1.931922715998752e-14,0.6555069405574879,0.635,0.307,2.55458140736515e-10,pneTRH,Tmem91
2.378958815381264e-14,0.6594194345287071,0.519,0.175,3.1456972415786453e-10,pneTRH,Scn1a
2.5895349862117716e-14,-0.7030288228882133,0.82,0.956,3.4241421122678257e-10,pneTRH,Zbtb20
2.9983385505076776e-14,-0.7676224269840484,0.635,0.864,3.964703065336302e-10,pneTRH,Cdk14
3.6151082866779496e-14,0.679517080507613,0.497,0.162,4.780257687474252e-10,pneTRH,Nrp2
5.401144221240023e-14,0.8293187928458976,0.952,0.811,7.141933003745683e-10,pneTRH,Grik2
5.995395971380488e-14,0.9047151192065028,0.974,0.877,7.927712092956419e-10,pneTRH,Pcdh9
6.048101990211176e-14,-0.7939484584740828,0.45,0.772,7.997405261656238e-10,pneTRH,Cadps2
6.191732281422053e-14,0.5176884732000394,0.402,0.088,8.18732759572438e-10,pneTRH,Clmp
7.398135565351237e-14,-0.665963703784849,0.148,0.478,9.78255465806394e-10,pneTRH,Tshz1
7.46300209035269e-14,0.45788247650606273,0.825,0.408,9.868327664073361e-10,pneTRH,Trpm3
1.1022241159266345e-13,0.7806529766744079,0.968,0.895,1.4574709484897887e-9,pneTRH,Adgrl3
1.2202853602695766e-13,1.18962658082212,0.64,0.417,1.613583331884461e-9,pneTRH,Sncb
1.383603746727379e-13,0.6358539332705063,0.333,0.057,1.8295392342976133e-9,pneTRH,Mpped2
1.5672057311719777e-13,0.643078917844653,0.889,0.614,2.0723161383287063e-9,pneTRH,Ppp1r9a
1.6828044003196362e-13,-0.8359636006873667,0.28,0.649,2.225172258542655e-9,pneTRH,Angpt1
2.879226971656934e-13,-0.6885461936684454,0.265,0.592,3.8072018246219636e-9,pneTRH,Fam49a
2.9298944677990314e-13,-0.5136237190008939,0.106,0.43,3.8741994547706595e-9,pneTRH,Tmem178
6.387435941117484e-13,-0.5393359906745496,0.138,0.478,8.446106544939648e-9,pneTRH,Pkib
6.679360126664688e-13,0.5888557986939176,0.841,0.557,8.832117895488716e-9,pneTRH,Stau2
6.755305942709479e-13,0.6837855563070314,0.952,0.868,8.932541048044743e-9,pneTRH,Xkr4
7.912471296414085e-13,1.0586873687041445,0.545,0.268,1.0462660795248344e-8,pneTRH,Kcnh7
8.966970821168198e-13,0.7344444011423682,0.265,0.026,1.1857025516830708e-8,pneTRH,Asb4
1.0587468893766514e-12,0.5794668057779317,0.778,0.504,1.3999810118227461e-8,pneTRH,Tmem181a
1.1097126515523497e-12,0.8565891847240454,0.937,0.768,1.4673730391476719e-8,pneTRH,Dmd
1.1609321734303943e-12,0.5804808496626019,0.873,0.605,1.5351006129270104e-8,pneTRH,Ralyl
1.3704904304694483e-12,0.5375864502333787,0.905,0.632,1.8121994962097516e-8,pneTRH,Tnik
1.6616209744041796e-12,0.5773089281777208,0.407,0.11,2.1971614144546466e-8,pneTRH,Samd5
2.226937594713482e-12,-0.6983255144357066,0.651,0.842,2.944679581489637e-8,pneTRH,Fos
2.3115128948492442e-12,0.672854339888016,0.968,0.908,3.056513500859156e-8,pneTRH,Csmd3
3.0120446564600096e-12,0.5655178556094578,0.995,0.982,3.9828266492370706e-8,pneTRH,Ctnna2
3.1684034716583508e-12,1.0740639481549352,0.884,0.763,4.189579910573837e-8,pneTRH,Il1rapl1
3.2484701337504786e-12,-1.0884335033611592,0.72,0.807,4.295452057858258e-8,pneTRH,B3galt1
3.401834966717886e-12,-0.8100209699309303,0.354,0.658,4.4982463764910606e-8,pneTRH,Fstl4
3.4177282523398633e-12,0.6865910202041738,0.704,0.408,4.5192620680690014e-8,pneTRH,Rab3b
3.4776497673988185e-12,0.8209918937952492,0.72,0.469,4.598496287431458e-8,pneTRH,Lhfpl3
3.7544626911781495e-12,0.5417946415647824,0.418,0.127,4.964526016544867e-8,pneTRH,Ube2e3
4.160357787628091e-12,0.45547146776531955,0.989,0.969,5.501241102580625e-8,pneTRH,Hap1
4.347617626407015e-12,0.5817875784607418,0.683,0.386,5.748854787397996e-8,pneTRH,Tmem191c
4.372426326085662e-12,1.0587628264256148,0.661,0.399,5.78165933098307e-8,pneTRH,Alcam
4.522422428091806e-12,0.676525089937037,0.275,0.039,5.979999176665795e-8,pneTRH,Epha3
5.0849998735533146e-12,0.6579516936830558,0.529,0.219,6.723895332799548e-8,pneTRH,Rab27b
5.351838237201973e-12,1.0681261252610446,0.772,0.531,7.07673570105217e-8,pneTRH,Car10
5.691922614342277e-12,0.5306839643330601,0.91,0.658,7.526429272944793e-8,pneTRH,Nsf
6.447653989081617e-12,0.5860721649933709,0.921,0.772,8.525732869762623e-8,pneTRH,Dner
7.255402693634044e-12,0.6119699356243378,0.429,0.14,9.593818981792296e-8,pneTRH,Aldoc
8.914859395976694e-12,-0.5865678466406599,0.175,0.496,1.1788118579299982e-7,pneTRH,Parm1
9.338422545759863e-12,0.38038636354771915,1,1,1.2348196132258266e-7,pneTRH,Nap1l5
9.612885685115626e-12,-0.4544925688257475,0.037,0.289,1.2711118741428392e-7,pneTRH,Cnih3
9.87124523042928e-12,0.6025674564881925,0.365,0.096,1.3052747568196639e-7,pneTRH,Kif26b
1.0031811780453831e-11,-0.6636282278334947,0.243,0.535,1.32650647172941e-7,pneTRH,Myrip
1.0364517914653287e-11,0.5730857802791312,0.91,0.759,1.3705002038546041e-7,pneTRH,Nsg2
1.0438675019688798e-11,0.7046860511525688,0.709,0.408,1.3803059978534497e-7,pneTRH,Psd3
1.1075805291213496e-11,-0.5853060404396242,0.106,0.408,1.4645537336571606e-7,pneTRH,Adcy8
1.1975076196075792e-11,0.6983403900285416,0.852,0.68,1.583464325407102e-7,pneTRH,Tanc2
1.4608026061075465e-11,0.29562994650100544,0.196,0.004,1.9316192860560087e-7,pneTRH,Zic2
1.59916901143621e-11,0.6938590206682133,0.624,0.338,2.1145811838221003e-7,pneTRH,Kcnt2
1.6485720752323847e-11,0.6100481363343682,0.979,0.974,2.1799068550797824e-7,pneTRH,Stmn2
1.714867487639825e-11,-0.8040134149682163,0.757,0.89,2.2675692789061406e-7,pneTRH,Lncpint
1.7523746772539807e-11,-0.6588929104661478,0.566,0.82,2.3171650357329388e-7,pneTRH,Sorcs3
1.9292114788952255e-11,0.639745712325875,0.593,0.298,2.550996338543157e-7,pneTRH,Klf12
2.364214207305313e-11,0.6677500752878062,0.608,0.325,3.126200446319815e-7,pneTRH,Snca
2.3646339027581614e-11,-0.6382370557969372,0.677,0.864,3.1267554096171167e-7,pneTRH,Msi2
2.3651394000162403e-11,-0.7968855677417963,0.677,0.833,3.1274238286414745e-7,pneTRH,Slit2
2.414141453339228e-11,0.4987763808292615,0.328,0.075,3.192219243750461e-7,pneTRH,Dpf3
2.5785577633718194e-11,-0.6054008330463199,0.249,0.531,3.4096269305065567e-7,pneTRH,Pvt1
2.9480090514855325e-11,0.6780719051126372,0.905,0.68,3.89815236877932e-7,pneTRH,Ntrk3
3.0983708540592574e-11,0.7666287370893117,0.852,0.61,4.096975780322556e-7,pneTRH,Hs6st3
3.323293949333103e-11,-0.6468902498643582,0.418,0.675,4.394391589203162e-7,pneTRH,Tmed3
3.815315947119559e-11,0.48855262028780305,0.481,0.197,5.044992276876193e-7,pneTRH,2010107G23Rik
3.8208172172785326e-11,0.6559377458284609,0.746,0.496,5.052266606407404e-7,pneTRH,Ncdn
4.343009122316941e-11,0.5794856853905876,0.55,0.259,5.742760962439692e-7,pneTRH,Tshz2
4.343321040931168e-11,-0.6313203270958039,0.492,0.772,5.743173412423284e-7,pneTRH,Nell2
4.475006339362776e-11,-0.9317126428319386,0.27,0.535,5.917300882539399e-7,pneTRH,Grm3
4.479289494333824e-11,-0.39705534178542357,0.005,0.219,5.922964498357615e-7,pneTRH,C1ql2
5.26695951481416e-11,0.5271178861199701,0.354,0.096,6.964500566438763e-7,pneTRH,Asic4
5.477733697211841e-11,0.5844933385331726,0.661,0.386,7.243207267823218e-7,pneTRH,Dtna
5.668974349914194e-11,1.0363374731465065,0.677,0.412,7.496084782891539e-7,pneTRH,Epha6
5.6856042543643953e-11,-0.4337300777222579,0.042,0.285,7.51807450554604e-7,pneTRH,Gm3294
6.196377428970148e-11,0.6205370879318711,0.72,0.443,8.193469874327227e-7,pneTRH,Prkcb
6.579624189778666e-11,0.31976535650836024,0.206,0.013,8.70023706614433e-7,pneTRH,Foxg1
7.501788677673088e-11,0.6971502757159673,0.466,0.206,9.919615168487123e-7,pneTRH,Pgm2l1
8.062133219914565e-11,0.5772234224707238,0.646,0.373,1.066055875669303e-6,pneTRH,Gas7
8.522376982525931e-11,0.4869052251080153,0.492,0.189,1.1269139083994038e-6,pneTRH,Syn3
9.905090538043724e-11,0.5269873432034546,0.487,0.206,1.3097501218455216e-6,pneTRH,Vstm2l
1.0095930605410287e-10,1.0341647089420392,0.667,0.412,1.3349849039534022e-6,pneTRH,Kirrel3
1.0541284594562538e-10,0.4048128282683814,0.233,0.026,1.3938740619390044e-6,pneTRH,Adamts18
